SOC_without_attack;SOC_fake;SOC_with_attack;PBESS_without_attack;PBESS_fake;PBESS_with_attack
19;19;63;28,33333333;27,64187956;13251,12127
19;19;66,76666667;28,66666667;27,37335334;13260,35453
19;19;70,6;24,66666667;27,10520001;13294,25875
19;19;74,46666667;23,66666667;26,83767394;13350,74435
19;19;78,36666667;23,33333333;26,57101559;13416,67444
19;19;82,3;21,66666667;26,30545186;13461,48192
19;19;86,2;21,66666667;26,04119641;13421,26125
19;18,23333333;89,73333333;20,66666667;25,77845007;4844,534395
19;18;86,96666667;19,66666667;25,51740116;-13341,64552
19;18;81,6;22;25,2582259;-13401,74782
19;18;76,26666667;23;25,00108879;-13452,13534
19;18;70,86666667;20,33333333;24,74614294;-13496,83945
19;18;65,5;20;24,49353053;-13539,44874
19;18;60,16666667;20;24,24338315;-13582,92136
19;18;54,76666667;20;23,99582217;-13628,37345
19;18;49,4;20;23,75095918;-13672,44192
19;18;44;20;23,50889633;-13704,09645
19;18;38,43333333;20;23,26972672;-13704,10411
19;18;32,8;20,66666667;23,03353474;-12558,3684
19;18;31,66666667;20;22,80039652;12525,76894
19;18;35,5;20;22,57038021;13234,33912
19;18;39,26666667;20;22,34354636;13282,40847
19;18;42,9;19,33333333;22,11994831;13309,84848
19;18;46,6;20;21,89963249;13318,29851
19;18;50,33333333;20;21,68263875;13310,61347
19;18;54;20;21,46900071;13291,85286
19;18;57,7;20;21,2587461;13269,65258
19;18;61,4;20;21,05189701;13253,6213
19;18;65,16666667;20;20,84847023;13253,54658
